observation_date,DEBTTLLKA188A
1990-01-01,96.5806255127663
1991-01-01,98.4833957754233
1992-01-01,95.3619119503954
1993-01-01,96.7978140982655
1994-01-01,94.8553232346257
1995-01-01,94.6498205974494
1996-01-01,92.3439843359440
1997-01-01,86.1059316703210
1998-01-01,89.1958239111343
1999-01-01,95.1081546127674
2000-01-01,96.9040326453759
2001-01-01,103.2192741498850
2002-01-01,105.5249907547010
2003-01-01,102.2707120234760
2004-01-01,102.3285366988690
2005-01-01,90.6049131149854
2006-01-01,88.6994841221229
2007-01-01,84.9944169483341
2008-01-01,
2009-01-01,86.0634919124860
2010-01-01,69.2530251841806
2011-01-01,68.5257394056158
2012-01-01,66.7472353671130
2013-01-01,68.3536165599981
2014-01-01,68.5910423357715
2015-01-01,73.5126591624451
