Date,1_month_rainfall_aggregate,1_month_rainfall_aggregate_avg,monthly_rainfall_anomaly
2025-04-01,243.7984,117.4755,203.1414
2025-04-11,213.7476,140.8384,149.9931
2025-04-21,255.2856,161.2338,156.578
2025-05-01,187.1251,171.5293,108.8347
2025-05-11,213.4928,173.279,122.5566
2025-05-21,169.601,163.3852,103.6915
2025-06-01,131.2151,135.1011,97.2263
2025-06-11,91.9169,104.8046,88.2631
2025-06-21,63.3042,82.8999,77.7068
2025-07-01,47.3444,73.3051,66.8467
2025-07-11,35.7415,71.7105,53.1107
2025-07-21,34.6841,72.3861,51.2806
2025-08-01,65.0084,68.2979,95.5121
2025-08-11,66.511,71.3153,93.7047
2025-08-21,63.399,77.7431,82.6643
2025-09-01,65.321,98.3954,68.0118
2025-09-11,105.5502,108.6227,97.2958
2025-09-21,112.6188,134.3033,84.4336
2025-10-01,137.5166,159.1168,86.8385
2025-10-11,246.9193,212.0133,116.0847
2025-10-21,311.3887,265.9133,116.786
2025-11-01,298.7746,316.2169,94.57
2025-11-11,303.623,335.7834,90.5628
2025-11-21,515.1321,342.4439,149.7025
2025-12-01,514.4344,312.3296,163.6892
2025-12-11,434.196,290.4703,148.643
2025-12-21,167.2114,245.7937,68.6666
2026-01-01,183.4013,215.7227,85.3566
2026-01-11,117.2058,172.6371,68.7952
2026-01-21,100.2347,142.1016,71.5388
2026-02-01,61.3486,121.9119,52.2792
2026-02-11,99.8591,102.7243,97.3403
2026-02-21,133.6136,82.3071,158.7656
2026-03-01,109.9888,76.5936,140.9287
