observation_date,DDOE02LKA086NWDB
1960-01-01,1.4876700000000000
1961-01-01,1.5045500000000001
1962-01-01,1.5271699999999999
1963-01-01,1.5618799999999999
1964-01-01,1.6117900000000001
1965-01-01,1.6153800000000000
1966-01-01,1.6128700000000000
1967-01-01,1.6481800000000000
1968-01-01,1.7447700000000002
1969-01-01,1.8748800000000001
1970-01-01,1.9848800000000000
1971-01-01,2.0377800000000001
1972-01-01,2.1671700000000000
1973-01-01,2.3757900000000003
1974-01-01,2.6680900000000003
1975-01-01,2.8448699999999998
1976-01-01,2.8826999999999998
1977-01-01,2.9180000000000001
1978-01-01,3.2723000000000000
1979-01-01,3.6234799999999998
1980-01-01,4.5708500000000001
1981-01-01,5.3921900000000003
1982-01-01,5.9759300000000000
1983-01-01,6.8104300000000002
1984-01-01,7.9435699999999985
1985-01-01,8.0612300000000001
1986-01-01,8.7042199999999994
1987-01-01,9.3759399999999999
1988-01-01,10.6877999999999993
1989-01-01,11.9240999999999993
1990-01-01,14.4871999999999996
1991-01-01,16.2526000000000010
1992-01-01,18.1026999999999987
1993-01-01,20.2292999999999985
1994-01-01,21.9381999999999984
1995-01-01,23.6219999999999999
1996-01-01,27.3862999999999985
1997-01-01,30.0062999999999995
1998-01-01,32.8181000000000012
1999-01-01,34.3580000000000041
2000-01-01,36.4799999999999969
2001-01-01,41.6450000000000031
2002-01-01,45.6225999999999985
2003-01-01,48.5039000000000016
2004-01-01,52.1781999999999968
2005-01-01,58.2513999999999967
2006-01-01,64.0883000000000038
2007-01-01,74.2412999999999954
2008-01-01,90.9933999999999941
2009-01-01,94.1462999999999965
2010-01-01,100.0000000000000000
2011-01-01,106.7169999999999987
2012-01-01,114.7660000000000053
2013-01-01,122.6949999999999932
2014-01-01,126.5949999999999989
2015-01-01,131.3660000000000139
2016-01-01,136.5670000000000073
2017-01-01,147.0879999999999939
