observation_date,FPCPITOTLZGLKA
1960-01-01,-1.544676806092010
1961-01-01,1.134443639799900
1962-01-01,1.503579952515490
1963-01-01,2.272905399962140
1964-01-01,3.195647176045920
1965-01-01,0.222783306254021
1966-01-01,-0.155601659973846
1967-01-01,2.189239332035170
1968-01-01,5.860566448985790
1969-01-01,7.456952733725760
1970-01-01,5.866956077659680
1971-01-01,2.665380208599910
1972-01-01,6.349486050136130
1973-01-01,9.626643101711220
1974-01-01,12.302886795247201
1975-01-01,6.625992553209790
1976-01-01,1.329518680582300
1977-01-01,1.224879588028450
1978-01-01,12.141597276465999
1979-01-01,10.731921430872999
1980-01-01,26.145410101446501
1981-01-01,17.968995496010098
1982-01-01,10.825749167568700
1983-01-01,13.964388006500100
1984-01-01,16.638253747921699
1985-01-01,1.481180122354290
1986-01-01,7.976361935706270
1987-01-01,7.717165605592690
1988-01-01,13.991548900207500
1989-01-01,11.567536089055800
1990-01-01,21.495252052759000
1991-01-01,12.185630721438899
1992-01-01,11.383437051220600
1993-01-01,11.746737017494601
1994-01-01,8.448712486983480
1995-01-01,7.674848734498050
1996-01-01,15.935831044721400
1997-01-01,9.573696264051620
1998-01-01,9.364243006832289
1999-01-01,4.691705630484380
2000-01-01,6.176275910120450
2001-01-01,14.158455799120000
2002-01-01,9.551031670072510
2003-01-01,6.314637870511740
2004-01-01,7.575925829958560
2005-01-01,11.639686097111801
2006-01-01,10.020183605703499
2007-01-01,15.842111492484300
2008-01-01,22.564495530012600
2009-01-01,3.464963221060740
2010-01-01,6.217648893046200
2011-01-01,6.716768435885400
2012-01-01,7.542913732394370
2013-01-01,6.908450348284520
2014-01-01,3.179002282360600
2015-01-01,3.768367830620960
2016-01-01,3.958888465930700
2017-01-01,7.704137678506020
2018-01-01,2.135037737132000
2019-01-01,3.528393582318110
2020-01-01,6.153945083917380
2021-01-01,7.014780712381950
2022-01-01,49.721102111432707
2023-01-01,16.541174227983198
2024-01-01,-0.429360049069730
